t,Temperatura
0.0,25.77463437313764
0.026853694068678453,24.327733258128035
0.053707388137356905,25.035688713196674
0.08056108220603536,25.948036935809803
0.10741477627471381,25.440755557666474
0.13426847034339226,24.96347460509062
0.16112216441207072,23.95472013605516
0.18797585848074916,24.907394372600265
0.21482955254942762,24.78174977606409
0.24168324661810608,25.240006613717583
0.2685369406867845,24.692066737069972
0.29539063475546296,25.424505875940135
0.32224432882414145,25.523486679152267
0.3490980228928199,24.56774580649751
0.3759517169614983,25.422409614473317
0.4028054110301768,24.71546603244545
0.42965910509885524,24.52385518354489
0.4565127991675337,24.24745820513729
0.48336649323621217,24.9661727071679
0.5102201873048906,24.60286460508077
0.537073881373569,25.580743093222942
0.5639275754422475,24.663395205956594
0.5907812695109259,24.41868377561774
0.6176349635796045,24.98105131691857
0.6444886576482829,25.18114596856526
0.6713423517169613,24.75031835720387
0.6981960457856398,25.311164194169585
0.7250497398543182,25.634896289813042
0.7519034339229966,24.495400128777177
0.7787571279916752,24.990174763152474
0.8056108220603536,24.841411048122286
0.832464516129032,24.951068913982
0.8593182101977105,25.648831096664455
0.8861719042663889,25.26665691457806
0.9130255983350674,25.312668900438588
0.9398792924037458,25.434882433328923
0.9667329864724243,26.000808881053562
0.9935866805411028,25.20560611948939
1.0204403746097812,25.6827479270875
1.0472940686784598,25.413358471859276
1.074147762747138,25.26915521473381
1.1010014568158166,24.765380249616523
1.127855150884495,25.435732782327822
1.1547088449531735,25.821705650606273
1.1815625390218518,25.185171139088542
1.2084162330905304,24.729529212764742
1.235269927159209,25.143119750144784
1.2621236212278872,25.024285193723696
1.2889773152965658,26.104625526468947
1.315831009365244,24.411634097369692
1.3426847034339227,24.935523546094295
1.369538397502601,23.836751691926004
1.3963920915712795,24.134548298159697
1.423245785639958,23.937880243268136
1.4500994797086364,24.953585682445738
1.476953173777315,25.515524845613502
1.5038068678459933,24.261310047010873
1.5306605619146718,24.754152196896587
1.5575142559833504,25.083777366596436
1.5843679500520287,24.540428979839064
1.6112216441207072,25.46595026487521
1.6380753381893856,24.773607893228178
1.664929032258064,24.773291253098616
1.6917827263267424,25.418389592487134
1.718636420395421,24.37223080211617
1.7454901144640995,24.735325211076123
1.7723438085327778,24.432655461818012
1.7991975026014564,25.092766490943585
1.8260511966701347,25.405185595313498
1.8529048907388133,25.247073189551983
1.8797585848074916,25.35423354718911
1.9066122788761701,25.53315347314049
1.9334659729448487,24.3822760054938
